Nom,Type d'établissement,Patronyme,Réussite au brevet (en %),Type de secteur,Adresse,Code postal,Commune,latitude,longitude,Etat de l'établissement,position,Précision de secteur,Date d'ouverture,Internat,Admission
Collège Toulouse Lautrec,COLLEGE GENERALE ET SEGPA,TOULOUSE LAUTREC,84,Public,1 boulevard Léon Blum,33212,Langon,44.54534917670954,-0.25110521247929546,OUVERT,"44.54534917670954, -0.25110521247929546",SANS OBJET,1965-05-01,PAS INTERNAT,Dès la 6ème
Collège Val des Pins,COLLEGE GENERALE,VAL DES PINS,89,Public,Avenue Francois Mitterrand,33470,Le Teich,44.624188955864696,-1.027908627041477,OUVERT,"44.624188955864696, -1.027908627041477",SANS OBJET,1998-09-01,PAS INTERNAT,Dès la 6ème
Collège Victor Louis,COLLEGE GENERALE,VICTOR LOUIS,89,Public,52 avenue DE THOUARS,33405,Talence,44.79915827220669,-0.592577907791748,OUVERT,"44.79915827220669, -0.592577907791748",SANS OBJET,1973-05-14,INTERNAT,Dès la 6ème
Collège Wangari Maathai,COLLEGE GENERALE,WANGARI MAATHAI,,Public,1100 chemin du Luget,33290,Le Pian-Médoc,44.93843270554712,-0.7030367945433198,OUVERT,"44.93843270554712, -0.7030367945433198",SANS OBJET,2022-09-01,PAS INTERNAT,Dès la 6ème
Ecole Diagonale,COLLEGE GENERALE PRIVE,ECOLE DIAGONALE,,Privé,29 rue de l'école normale,33100,Bordeaux,44.84735771359598,-0.6004402084148159,OUVERT,"44.84735771359598, -0.6004402084148159",HORS CONTRAT,2023-09-01,PAS INTERNAT,Dès la 6ème
Ecole Edeys - Eysines,COLLEGE GENERALE PRIVE,ECOLE EDEYS,,Privé,93 avenue du Taillan,33320,Eysines,44.876721733932236,-0.6414450273581798,OUVERT,"44.876721733932236, -0.6414450273581798",HORS CONTRAT,2021-08-03,PAS INTERNAT,Dès la 6ème
Ecole Montessori bilingue Bordeaux Rive droite Eclosion des fleurs,COLLEGE GENERALE PRIVE,L'ECLOSION DES FLEURS,,Privé,9 chemin Profond,33370,Fargues-Saint-Hilaire,44.82229451366262,-0.4336929061600807,OUVERT,"44.82229451366262, -0.4336929061600807",HORS CONTRAT,2022-09-01,PAS INTERNAT,Dès la 6ème
Ecole Païdéia,COLLEGE GENERALE PRIVE,ECOLE PAIDEIA,,Privé,5 chemin de Peychon,33370,Tresses,44.84088251236571,-0.4816723012934502,OUVERT,"44.84088251236571, -0.4816723012934502",HORS CONTRAT,2020-11-03,PAS INTERNAT,Dès la 6ème
Ensemble scolaire les renards Coimères,COLLEGE GENERALE PRIVE,LES RENARDS,,Privé,1-2 lieu-dit Petit Labraize,33210,Coimères,44.51395313221948,-0.19340902968980417,OUVERT,"44.51395313221948, -0.19340902968980417",HORS CONTRAT,2022-09-01,PAS INTERNAT,Dès la 6ème
Maison Familiale Rurale de Blaye,MAISON FAMILIALE RURALE,DE BLAYE,74,Privé,4 impasse du merle,33390,Blaye,45.134902957203785,-0.6500282482520928,OUVERT,"45.134902957203785, -0.6500282482520928",SOUS CONTRAT ETABLISSEMENT AGRICOLE,1977-03-02,PAS INTERNAT,Dès la 6ème
Maison Familiale Rurale de Gironde,MAISON FAMILIALE RURALE,DE GIRONDE,,Privé,2 lieu-dit,33190,Gironde-sur-Dropt,44.597490275148836,-0.07669440434988173,OUVERT,"44.597490275148836, -0.07669440434988173",SANS OBJET,2005-09-01,PAS INTERNAT,Dès la 4ème
Maison Familiale Rurale de La Sauve,MAISON FAMILIALE RURALE,DE LA SAUVE,86,Privé,67 rue du gestas,33670,La Sauve,44.773757725316464,-0.30246292460201835,OUVERT,"44.773757725316464, -0.30246292460201835",SOUS CONTRAT ETABLISSEMENT AGRICOLE,1964-07-17,PAS INTERNAT,Dès la 4ème
Maison Familiale Rurale de Saint-Yzans - Médoc,MAISON FAMILIALE RURALE,DE ST YZANS - MEDOC,,Privé,11 rue de rigon,33340,Saint-Yzans-de-Médoc,45.3197176004639,-0.8216254357655665,OUVERT,"45.3197176004639, -0.8216254357655665",SOUS CONTRAT ETABLISSEMENT AGRICOLE,1977-03-02,PAS INTERNAT,Dès la 4ème
Maison Familiale Rurale de Vayres,MAISON FAMILIALE RURALE,DE VAYRES,85,Privé,DOMAINE DE LAGRON,33870,Vayres,44.884849869811525,-0.3213433085222523,OUVERT,"44.884849869811525, -0.3213433085222523",SOUS CONTRAT ETABLISSEMENT AGRICOLE,1969-06-19,PAS INTERNAT,Dès la 4ème
Maison Familiale Rurale des Eglisottes,MAISON FAMILIALE RURALE,DES EGLISOTTES,,Privé,2 TOUR BLANCHE LES EGLISOTTES,33230,Les Eglisottes-et-Chalaures,45.08333613118849,-0.06393714307795756,OUVERT,"45.08333613118849, -0.06393714307795756",SOUS CONTRAT ETABLISSEMENT AGRICOLE,1968-09-18,PAS INTERNAT,Dès la 4ème
Maison Familiale Rurale Saint-Trelody - Lesparre,MAISON FAMILIALE RURALE,ST TRELODY - LESPARRE,,Privé,34 rue du lieut col jean lagarrigue,33340,Lesparre-Médoc,45.29900120541664,-0.9114754111498591,OUVERT,"45.29900120541664, -0.9114754111498591",SOUS CONTRAT ETABLISSEMENT AGRICOLE,1977-03-02,PAS INTERNAT,Dès la 4ème
